기준시점,시군구,읍면동,세대수,등록인구,등록인구 남,등록인구 여,한국인,한국인 남,한국인 여,외국인,외국인 남,외국인 여,세대당인구,65세이상 고령자
2023,용인시 기흥구,마북동,12272,31652,15461,16191,31449,15358,16091,203,103,100,2.58,6390
2023,용인시 기흥구,동백1동,11656,32152,15348,16804,32023,15303,16720,129,45,84,2.76,3733
2023,용인시 기흥구,동백2동,9450,26983,13251,13732,26894,13206,13688,89,45,44,2.86,3244
2023,용인시 기흥구,동백3동,10114,27007,13146,13861,26898,13100,13798,109,46,63,2.67,4266
2023,용인시 기흥구,상하동,9205,23870,11619,12251,23620,11467,12153,250,152,98,2.59,4097
2023,용인시 기흥구,보정동,13170,35590,17423,18167,35326,17271,18055,264,152,112,2.7,6102
2023,용인시 수지구,풍덕천1동,15714,35736,17867,17869,35189,17627,17562,547,240,307,2.27,5509
2023,용인시 수지구,풍덕천2동,15353,41686,20453,21233,41450,20362,21088,236,91,145,2.72,4115
2023,용인시 수지구,신봉동,14765,41445,19988,21457,41317,19928,21389,128,60,68,2.81,6322
2023,용인시 수지구,죽전1동,10701,28883,13898,14985,28433,13733,14700,450,165,285,2.7,4640
2023,용인시 수지구,죽전2동,7651,18106,8973,9133,18003,8927,9076,103,46,57,2.37,2657
2023,용인시 수지구,죽전3동,10719,27591,13260,14331,26584,12906,13678,1007,354,653,2.57,3686
2023,용인시 수지구,동천동,19507,51196,25167,26029,50793,24984,25809,403,183,220,2.62,6754
2023,용인시 수지구,상현1동,6624,20138,9669,10469,20088,9649,10439,50,20,30,3.04,3032
2023,용인시 수지구,상현2동,11491,33168,16052,17116,33110,16032,17078,58,20,38,2.89,5313
2023,용인시 수지구,상현3동,11179,27878,13445,14433,27759,13408,14351,119,37,82,2.49,3402
2023,용인시 수지구,성복동,18802,54888,26414,28474,54696,26324,28372,192,90,102,2.92,9540
2024,용인시 처인구,포곡읍,14173,32161,16724,15437,31300,16189,15111,861,535,326,2.27,5477
2024,용인시 처인구,모현읍,13017,29171,15488,13683,27529,14349,13180,1642,1139,503,2.24,5479
2024,용인시 처인구,이동읍,9018,21089,11220,9869,19464,10029,9435,1625,1191,434,2.34,4389
2024,용인시 처인구,남사읍,9986,24705,12826,11879,23644,11991,11653,1061,835,226,2.47,4304
2024,용인시 처인구,원삼면,3999,8484,4648,3836,7737,4049,3688,747,599,148,2.12,2527
2024,용인시 처인구,백암면,4349,8872,5085,3787,7901,4263,3638,971,822,149,2.04,2815
2024,용인시 처인구,양지면,9748,20447,10941,9506,19751,10459,9292,696,482,214,2.1,3893
2024,용인시 처인구,중앙동,13418,28936,14767,14169,26751,13531,13220,2185,1236,949,2.16,4742
2024,용인시 처인구,역북동,15645,35417,17847,17570,34747,17503,17244,670,344,326,2.26,3940
2024,용인시 처인구,삼가동,4774,12132,6017,6115,12053,5982,6071,79,35,44,2.54,1958
2024,용인시 처인구,유림동,20942,51752,26130,25622,50982,25728,25254,770,402,368,2.47,6125
2024,용인시 처인구,동부동,5974,13077,6771,6306,12303,6350,5953,774,421,353,2.19,2810
2024,용인시 기흥구,신갈동,16006,37368,18654,18714,36624,18270,18354,744,384,360,2.33,6187
2024,용인시 기흥구,영덕1동,13733,34536,17063,17473,34273,16950,17323,263,113,150,2.51,3985
2024,용인시 기흥구,영덕2동,7935,19355,9543,9812,19232,9479,9753,123,64,59,2.44,2778
2024,용인시 기흥구,구갈동,18049,41546,20961,20585,40300,20356,19944,1246,605,641,2.3,5069
2024,용인시 기흥구,상갈동,6102,12863,6653,6210,12584,6512,6072,279,141,138,2.11,2232
2024,용인시 기흥구,보라동,12469,32927,16253,16674,32688,16131,16557,239,122,117,2.64,5703
2024,용인시 기흥구,기흥동,9096,21191,10529,10662,20924,10363,10561,267,166,101,2.33,4122
2024,용인시 기흥구,서농동,11242,26136,13210,12926,25005,12725,12280,1131,485,646,2.32,2549
