행정기관명,동명,연령,성별구분,인구수
부산광역시 해운대구,중제1동,90세 - 99세,여,76
부산광역시 해운대구,중제1동,100세 - 109세,남,0
부산광역시 해운대구,중제1동,100세 - 109세,여,2
부산광역시 해운대구,중제1동,110세 이상,남,0
부산광역시 해운대구,중제1동,110세 이상,여,1
부산광역시 해운대구,중제2동,0세 - 9세,남,471
부산광역시 해운대구,중제2동,0세 - 9세,여,530
부산광역시 해운대구,중제2동,10세 - 19세,남,636
부산광역시 해운대구,중제2동,10세 - 19세,여,571
부산광역시 해운대구,중제2동,20세 - 29세,남,672
부산광역시 해운대구,중제2동,20세 - 29세,여,610
부산광역시 해운대구,중제2동,30세 - 39세,남,920
부산광역시 해운대구,중제2동,30세 - 39세,여,970
부산광역시 해운대구,중제2동,40세 - 49세,남,"1,239"
부산광역시 해운대구,중제2동,40세 - 49세,여,"1,238"
부산광역시 해운대구,중제2동,50세 - 59세,남,"1,247"
부산광역시 해운대구,중제2동,50세 - 59세,여,"1,403"
부산광역시 해운대구,중제2동,60세 - 69세,남,"1,213"
부산광역시 해운대구,중제2동,60세 - 69세,여,"1,448"
부산광역시 해운대구,중제2동,70세 - 79세,남,612
부산광역시 해운대구,중제2동,70세 - 79세,여,789
부산광역시 해운대구,중제2동,80세 - 89세,남,215
부산광역시 해운대구,중제2동,80세 - 89세,여,306
부산광역시 해운대구,중제2동,90세 - 99세,남,23
부산광역시 해운대구,중제2동,90세 - 99세,여,57
부산광역시 해운대구,중제2동,100세 - 109세,남,0
부산광역시 해운대구,중제2동,100세 - 109세,여,4
부산광역시 해운대구,중제2동,110세 이상,남,0
부산광역시 해운대구,중제2동,110세 이상,여,0
부산광역시 해운대구,좌제1동,0세 - 9세,남,445
부산광역시 해운대구,좌제1동,0세 - 9세,여,411
부산광역시 해운대구,좌제1동,10세 - 19세,남,911
부산광역시 해운대구,좌제1동,10세 - 19세,여,887
부산광역시 해운대구,좌제1동,20세 - 29세,남,"1,053"
부산광역시 해운대구,좌제1동,20세 - 29세,여,"1,178"
부산광역시 해운대구,좌제1동,30세 - 39세,남,996
부산광역시 해운대구,좌제1동,30세 - 39세,여,"1,043"
부산광역시 해운대구,좌제1동,40세 - 49세,남,"1,104"
부산광역시 해운대구,좌제1동,40세 - 49세,여,"1,432"
부산광역시 해운대구,좌제1동,50세 - 59세,남,"1,490"
부산광역시 해운대구,좌제1동,50세 - 59세,여,"1,741"
부산광역시 해운대구,좌제1동,60세 - 69세,남,"1,088"
부산광역시 해운대구,좌제1동,60세 - 69세,여,"1,215"
부산광역시 해운대구,좌제1동,70세 - 79세,남,496
부산광역시 해운대구,좌제1동,70세 - 79세,여,658
부산광역시 해운대구,좌제1동,80세 - 89세,남,266
부산광역시 해운대구,좌제1동,80세 - 89세,여,496
부산광역시 해운대구,좌제1동,90세 - 99세,남,36
부산광역시 해운대구,좌제1동,90세 - 99세,여,71
부산광역시 해운대구,좌제1동,100세 - 109세,남,1
부산광역시 해운대구,좌제1동,100세 - 109세,여,1
부산광역시 해운대구,좌제1동,110세 이상,남,0
부산광역시 해운대구,좌제1동,110세 이상,여,0
부산광역시 해운대구,좌제2동,0세 - 9세,남,716
부산광역시 해운대구,좌제2동,0세 - 9세,여,711
부산광역시 해운대구,좌제2동,10세 - 19세,남,"1,231"
부산광역시 해운대구,좌제2동,10세 - 19세,여,"1,244"
부산광역시 해운대구,좌제2동,20세 - 29세,남,"1,830"
부산광역시 해운대구,좌제2동,20세 - 29세,여,"2,031"
부산광역시 해운대구,좌제2동,30세 - 39세,남,"2,112"
부산광역시 해운대구,좌제2동,30세 - 39세,여,"2,099"
부산광역시 해운대구,좌제2동,40세 - 49세,남,"1,899"
부산광역시 해운대구,좌제2동,40세 - 49세,여,"2,316"
부산광역시 해운대구,좌제2동,50세 - 59세,남,"2,307"
부산광역시 해운대구,좌제2동,50세 - 59세,여,"3,079"
부산광역시 해운대구,좌제2동,60세 - 69세,남,"2,225"
부산광역시 해운대구,좌제2동,60세 - 69세,여,"2,499"
부산광역시 해운대구,좌제2동,70세 - 79세,남,976
부산광역시 해운대구,좌제2동,70세 - 79세,여,"1,324"
부산광역시 해운대구,좌제2동,80세 - 89세,남,453
부산광역시 해운대구,좌제2동,80세 - 89세,여,738
부산광역시 해운대구,좌제2동,90세 - 99세,남,54
부산광역시 해운대구,좌제2동,90세 - 99세,여,145
부산광역시 해운대구,좌제2동,100세 - 109세,남,2
부산광역시 해운대구,좌제2동,100세 - 109세,여,5
부산광역시 해운대구,좌제2동,110세 이상,남,0
부산광역시 해운대구,좌제2동,110세 이상,여,0
부산광역시 해운대구,좌제3동,0세 - 9세,남,391
부산광역시 해운대구,좌제3동,0세 - 9세,여,378
부산광역시 해운대구,좌제3동,10세 - 19세,남,781
부산광역시 해운대구,좌제3동,10세 - 19세,여,686
부산광역시 해운대구,좌제3동,20세 - 29세,남,778
부산광역시 해운대구,좌제3동,20세 - 29세,여,705
부산광역시 해운대구,좌제3동,30세 - 39세,남,752
부산광역시 해운대구,좌제3동,30세 - 39세,여,750
부산광역시 해운대구,좌제3동,40세 - 49세,남,881
부산광역시 해운대구,좌제3동,40세 - 49세,여,"1,087"
부산광역시 해운대구,좌제3동,50세 - 59세,남,"1,259"
부산광역시 해운대구,좌제3동,50세 - 59세,여,"1,527"
부산광역시 해운대구,좌제3동,60세 - 69세,남,"1,145"
부산광역시 해운대구,좌제3동,60세 - 69세,여,"1,406"
부산광역시 해운대구,좌제3동,70세 - 79세,남,610
부산광역시 해운대구,좌제3동,70세 - 79세,여,795
부산광역시 해운대구,좌제3동,80세 - 89세,남,288
부산광역시 해운대구,좌제3동,80세 - 89세,여,543
부산광역시 해운대구,좌제3동,90세 - 99세,남,37
부산광역시 해운대구,좌제3동,90세 - 99세,여,110
부산광역시 해운대구,좌제3동,100세 - 109세,남,0
부산광역시 해운대구,좌제3동,100세 - 109세,여,5
부산광역시 해운대구,좌제3동,110세 이상,남,0
부산광역시 해운대구,좌제3동,110세 이상,여,0
부산광역시 해운대구,좌제4동,0세 - 9세,남,682
부산광역시 해운대구,좌제4동,0세 - 9세,여,637
부산광역시 해운대구,좌제4동,10세 - 19세,남,"1,343"
부산광역시 해운대구,좌제4동,10세 - 19세,여,"1,242"
부산광역시 해운대구,좌제4동,20세 - 29세,남,"1,220"
부산광역시 해운대구,좌제4동,20세 - 29세,여,"1,076"
부산광역시 해운대구,좌제4동,30세 - 39세,남,"1,116"
부산광역시 해운대구,좌제4동,30세 - 39세,여,"1,190"
부산광역시 해운대구,좌제4동,40세 - 49세,남,"1,500"
부산광역시 해운대구,좌제4동,40세 - 49세,여,"1,819"
부산광역시 해운대구,좌제4동,50세 - 59세,남,"1,839"
부산광역시 해운대구,좌제4동,50세 - 59세,여,"2,258"
부산광역시 해운대구,좌제4동,60세 - 69세,남,"1,567"
부산광역시 해운대구,좌제4동,60세 - 69세,여,"1,694"
부산광역시 해운대구,좌제4동,70세 - 79세,남,661
부산광역시 해운대구,좌제4동,70세 - 79세,여,869
부산광역시 해운대구,좌제4동,80세 - 89세,남,306
부산광역시 해운대구,좌제4동,80세 - 89세,여,550
부산광역시 해운대구,좌제4동,90세 - 99세,남,40
부산광역시 해운대구,좌제4동,90세 - 99세,여,89
부산광역시 해운대구,좌제4동,100세 - 109세,남,0
부산광역시 해운대구,좌제4동,100세 - 109세,여,3
부산광역시 해운대구,좌제4동,110세 이상,남,0
부산광역시 해운대구,좌제4동,110세 이상,여,0
부산광역시 해운대구,송정동,0세 - 9세,남,155
부산광역시 해운대구,송정동,0세 - 9세,여,131
부산광역시 해운대구,송정동,10세 - 19세,남,291
부산광역시 해운대구,송정동,10세 - 19세,여,208
부산광역시 해운대구,송정동,20세 - 29세,남,417
부산광역시 해운대구,송정동,20세 - 29세,여,327
부산광역시 해운대구,송정동,30세 - 39세,남,529
부산광역시 해운대구,송정동,30세 - 39세,여,481
부산광역시 해운대구,송정동,40세 - 49세,남,619
부산광역시 해운대구,송정동,40세 - 49세,여,548
부산광역시 해운대구,송정동,50세 - 59세,남,714
부산광역시 해운대구,송정동,50세 - 59세,여,812
부산광역시 해운대구,송정동,60세 - 69세,남,855
부산광역시 해운대구,송정동,60세 - 69세,여,"1,102"
부산광역시 해운대구,송정동,70세 - 79세,남,572
부산광역시 해운대구,송정동,70세 - 79세,여,685
부산광역시 해운대구,송정동,80세 - 89세,남,198
부산광역시 해운대구,송정동,80세 - 89세,여,377
부산광역시 해운대구,송정동,90세 - 99세,남,18
부산광역시 해운대구,송정동,90세 - 99세,여,72
부산광역시 해운대구,송정동,100세 - 109세,남,0
부산광역시 해운대구,송정동,100세 - 109세,여,1
부산광역시 해운대구,송정동,110세 이상,남,0
부산광역시 해운대구,송정동,110세 이상,여,0
부산광역시 해운대구,반여제1동,0세 - 9세,남,"1,234"
부산광역시 해운대구,반여제1동,0세 - 9세,여,"1,142"
부산광역시 해운대구,반여제1동,10세 - 19세,남,"1,970"
부산광역시 해운대구,반여제1동,10세 - 19세,여,"1,877"
부산광역시 해운대구,반여제1동,20세 - 29세,남,"1,997"
부산광역시 해운대구,반여제1동,20세 - 29세,여,"1,648"
부산광역시 해운대구,반여제1동,30세 - 39세,남,"1,943"
부산광역시 해운대구,반여제1동,30세 - 39세,여,"1,954"
부산광역시 해운대구,반여제1동,40세 - 49세,남,"2,584"
부산광역시 해운대구,반여제1동,40세 - 49세,여,"2,914"
부산광역시 해운대구,반여제1동,50세 - 59세,남,"3,151"
부산광역시 해운대구,반여제1동,50세 - 59세,여,"3,393"
부산광역시 해운대구,반여제1동,60세 - 69세,남,"2,606"
부산광역시 해운대구,반여제1동,60세 - 69세,여,"2,743"
부산광역시 해운대구,반여제1동,70세 - 79세,남,"1,337"
부산광역시 해운대구,반여제1동,70세 - 79세,여,"1,513"
부산광역시 해운대구,반여제1동,80세 - 89세,남,436
부산광역시 해운대구,반여제1동,80세 - 89세,여,687
부산광역시 해운대구,반여제1동,90세 - 99세,남,51
부산광역시 해운대구,반여제1동,90세 - 99세,여,123
부산광역시 해운대구,반여제1동,100세 - 109세,남,2
부산광역시 해운대구,반여제1동,100세 - 109세,여,1
부산광역시 해운대구,반여제1동,110세 이상,남,0
부산광역시 해운대구,반여제1동,110세 이상,여,0
부산광역시 해운대구,반여제2동,0세 - 9세,남,155
부산광역시 해운대구,반여제2동,0세 - 9세,여,151
부산광역시 해운대구,반여제2동,10세 - 19세,남,235
부산광역시 해운대구,반여제2동,10세 - 19세,여,235
부산광역시 해운대구,반여제2동,20세 - 29세,남,515
부산광역시 해운대구,반여제2동,20세 - 29세,여,390
부산광역시 해운대구,반여제2동,30세 - 39세,남,682
부산광역시 해운대구,반여제2동,30세 - 39세,여,490
부산광역시 해운대구,반여제2동,40세 - 49세,남,742
부산광역시 해운대구,반여제2동,40세 - 49세,여,576
부산광역시 해운대구,반여제2동,50세 - 59세,남,"1,000"
부산광역시 해운대구,반여제2동,50세 - 59세,여,994
부산광역시 해운대구,반여제2동,60세 - 69세,남,"1,142"
부산광역시 해운대구,반여제2동,60세 - 69세,여,"1,325"
부산광역시 해운대구,반여제2동,70세 - 79세,남,695
부산광역시 해운대구,반여제2동,70세 - 79세,여,963
부산광역시 해운대구,반여제2동,80세 - 89세,남,262
부산광역시 해운대구,반여제2동,80세 - 89세,여,525
부산광역시 해운대구,반여제2동,90세 - 99세,남,16
부산광역시 해운대구,반여제2동,90세 - 99세,여,65
부산광역시 해운대구,반여제2동,100세 - 109세,남,0
부산광역시 해운대구,반여제2동,100세 - 109세,여,2
부산광역시 해운대구,반여제2동,110세 이상,남,0
부산광역시 해운대구,반여제2동,110세 이상,여,0
부산광역시 해운대구,반여제3동,0세 - 9세,남,55
부산광역시 해운대구,반여제3동,0세 - 9세,여,58
부산광역시 해운대구,반여제3동,10세 - 19세,남,163
부산광역시 해운대구,반여제3동,10세 - 19세,여,138
부산광역시 해운대구,반여제3동,20세 - 29세,남,312
부산광역시 해운대구,반여제3동,20세 - 29세,여,289
부산광역시 해운대구,반여제3동,30세 - 39세,남,383
부산광역시 해운대구,반여제3동,30세 - 39세,여,230
부산광역시 해운대구,반여제3동,40세 - 49세,남,416
부산광역시 해운대구,반여제3동,40세 - 49세,여,337
부산광역시 해운대구,반여제3동,50세 - 59세,남,692
부산광역시 해운대구,반여제3동,50세 - 59세,여,650
부산광역시 해운대구,반여제3동,60세 - 69세,남,825
부산광역시 해운대구,반여제3동,60세 - 69세,여,980
부산광역시 해운대구,반여제3동,70세 - 79세,남,490
부산광역시 해운대구,반여제3동,70세 - 79세,여,684
부산광역시 해운대구,반여제3동,80세 - 89세,남,203
부산광역시 해운대구,반여제3동,80세 - 89세,여,370
부산광역시 해운대구,반여제3동,90세 - 99세,남,13
부산광역시 해운대구,반여제3동,90세 - 99세,여,63
부산광역시 해운대구,반여제3동,100세 - 109세,남,0
부산광역시 해운대구,반여제3동,100세 - 109세,여,1
부산광역시 해운대구,반여제3동,110세 이상,남,0
부산광역시 해운대구,반여제3동,110세 이상,여,0
부산광역시 해운대구,반여제4동,0세 - 9세,남,410
부산광역시 해운대구,반여제4동,0세 - 9세,여,396
부산광역시 해운대구,반여제4동,10세 - 19세,남,708
부산광역시 해운대구,반여제4동,10세 - 19세,여,681
부산광역시 해운대구,반여제4동,20세 - 29세,남,785
부산광역시 해운대구,반여제4동,20세 - 29세,여,625
부산광역시 해운대구,반여제4동,30세 - 39세,남,792
부산광역시 해운대구,반여제4동,30세 - 39세,여,775
부산광역시 해운대구,반여제4동,40세 - 49세,남,"1,083"
부산광역시 해운대구,반여제4동,40세 - 49세,여,"1,052"
부산광역시 해운대구,반여제4동,50세 - 59세,남,"1,184"
부산광역시 해운대구,반여제4동,50세 - 59세,여,"1,439"
부산광역시 해운대구,반여제4동,60세 - 69세,남,"1,249"
부산광역시 해운대구,반여제4동,60세 - 69세,여,"1,412"
부산광역시 해운대구,반여제4동,70세 - 79세,남,664
부산광역시 해운대구,반여제4동,70세 - 79세,여,670
부산광역시 해운대구,반여제4동,80세 - 89세,남,162
부산광역시 해운대구,반여제4동,80세 - 89세,여,255
부산광역시 해운대구,반여제4동,90세 - 99세,남,10
부산광역시 해운대구,반여제4동,90세 - 99세,여,48
부산광역시 해운대구,반여제4동,100세 - 109세,남,0
부산광역시 해운대구,반여제4동,100세 - 109세,여,1
부산광역시 해운대구,반여제4동,110세 이상,남,0
부산광역시 해운대구,반여제4동,110세 이상,여,0
부산광역시 해운대구,반송제1동,0세 - 9세,남,98
부산광역시 해운대구,반송제1동,0세 - 9세,여,89
부산광역시 해운대구,반송제1동,10세 - 19세,남,240
부산광역시 해운대구,반송제1동,10세 - 19세,여,233
부산광역시 해운대구,반송제1동,20세 - 29세,남,581
부산광역시 해운대구,반송제1동,20세 - 29세,여,420
부산광역시 해운대구,반송제1동,30세 - 39세,남,490
부산광역시 해운대구,반송제1동,30세 - 39세,여,354
부산광역시 해운대구,반송제1동,40세 - 49세,남,717
부산광역시 해운대구,반송제1동,40세 - 49세,여,467
부산광역시 해운대구,반송제1동,50세 - 59세,남,"1,168"
부산광역시 해운대구,반송제1동,50세 - 59세,여,952
부산광역시 해운대구,반송제1동,60세 - 69세,남,"1,312"
부산광역시 해운대구,반송제1동,60세 - 69세,여,"1,340"
부산광역시 해운대구,반송제1동,70세 - 79세,남,883
부산광역시 해운대구,반송제1동,70세 - 79세,여,"1,191"
부산광역시 해운대구,반송제1동,80세 - 89세,남,400
부산광역시 해운대구,반송제1동,80세 - 89세,여,706
부산광역시 해운대구,반송제1동,90세 - 99세,남,19
부산광역시 해운대구,반송제1동,90세 - 99세,여,96
부산광역시 해운대구,반송제1동,100세 - 109세,남,1
부산광역시 해운대구,반송제1동,100세 - 109세,여,1
부산광역시 해운대구,반송제1동,110세 이상,남,0
부산광역시 해운대구,반송제1동,110세 이상,여,0
부산광역시 해운대구,반송제2동,0세 - 9세,남,239
부산광역시 해운대구,반송제2동,0세 - 9세,여,246
부산광역시 해운대구,반송제2동,10세 - 19세,남,587
부산광역시 해운대구,반송제2동,10세 - 19세,여,470
부산광역시 해운대구,반송제2동,20세 - 29세,남,844
부산광역시 해운대구,반송제2동,20세 - 29세,여,662
부산광역시 해운대구,반송제2동,30세 - 39세,남,867
부산광역시 해운대구,반송제2동,30세 - 39세,여,631
부산광역시 해운대구,반송제2동,40세 - 49세,남,"1,255"
부산광역시 해운대구,반송제2동,40세 - 49세,여,992
부산광역시 해운대구,반송제2동,50세 - 59세,남,"1,779"
부산광역시 해운대구,반송제2동,50세 - 59세,여,"1,720"
부산광역시 해운대구,반송제2동,60세 - 69세,남,"2,281"
부산광역시 해운대구,반송제2동,60세 - 69세,여,"2,522"
부산광역시 해운대구,반송제2동,70세 - 79세,남,"1,544"
부산광역시 해운대구,반송제2동,70세 - 79세,여,"2,053"
부산광역시 해운대구,반송제2동,80세 - 89세,남,529
부산광역시 해운대구,반송제2동,80세 - 89세,여,"1,106"
부산광역시 해운대구,반송제2동,90세 - 99세,남,38
부산광역시 해운대구,반송제2동,90세 - 99세,여,165
부산광역시 해운대구,반송제2동,100세 - 109세,남,0
부산광역시 해운대구,반송제2동,100세 - 109세,여,3
부산광역시 해운대구,반송제2동,110세 이상,남,0
부산광역시 해운대구,반송제2동,110세 이상,여,0
부산광역시 해운대구,재송제1동,0세 - 9세,남,"1,482"
