순번,구분,총계,10대 이하,10대,20대,30대,40대,50대,60대,70대,80대,90대,100대
1,동강면,3007,92,106,184,146,241,451,701,572,425,85,4
2,동강면(유둔리),564,32,23,28,48,43,85,135,92,61,16,1
