번호,기준년월,시도코드,시도이름,시군구코드,시군구이름,행정동코드,행정동이름,법정동코드,법정동이름,출생년도,인구수
3826,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010100,원내동,1931,7
3827,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010800,세동,1975,7
3828,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020013700,안산동,1928,1
3829,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020013700,안산동,1984,4
3830,Jan-22,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020013200,하기동,1954,2
3831,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020011000,방동,1963,5
3832,Jan-22,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020015000,금탄동,1924,1
3833,Jan-22,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020012700,도룡동,1972,136
3834,Jan-22,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,1928,11
3835,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020011600,복용동,1999,13
3836,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010800,세동,2001,1
3837,Jan-22,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020015100,신동,1982,1
3838,Jan-22,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020013500,신봉동,1962,9
3839,Jan-22,3000000000,대전광역시,3020000000,유성구,3020057000,전민동,3020014100,전민동,2017,166
3840,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020012000,지족동,1968,123
3841,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020013700,안산동,1986,6
3842,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020010500,학하동,1956,10
3843,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020013900,반석동,1965,1
3844,Jan-22,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020014500,봉산동,1987,129
3845,Jan-22,3000000000,대전광역시,3020000000,유성구,3020060000,관평동,3020014600,관평동,1959,184
3846,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020013200,하기동,1994,122
3847,Jan-22,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020012500,신성동,1951,44
3848,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020010600,계산동,2008,89
3849,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054800,노은3동,3020012000,지족동,1940,35
3850,Jan-22,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020012600,가정동,2002,6
3851,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011800,갑동,1948,10
3852,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054800,노은3동,3020012000,지족동,1972,413
3853,Jan-22,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동,1960,188
3854,Jan-22,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020014900,대동,1991,2
